label,review
1,好事！ //@深夜走过长安街002:1226我们一起纪念，纪念一位伟人！[国旗]//@?吉吉: [抱抱][鼓掌][2][6]号，倒计时！[钟]充满期待//@深夜走过长安街002: 敬请期待！[bm可爱]
1,[爱你]准备好了
1,洗澡美容多少银两？ //@加速梦想韦嘉诚: 好友店铺开张，希望大家多多捧场[嘻嘻]
1,#APU激发小宇宙#+想让APU帮我激发幸运大奖[嘻嘻]小宇宙”， 地址：http://t.cn/zOmh7nT
1,终于到了，开动[嘻嘻]
0,孩子不要哭，勇敢些！还有很多好心人在支持你[爱心传递] //@涂志成---烧鹅成:[泪][泪][泪][绿丝带][绿丝带][绿丝带] //@大哥餐厅:
0,刚才窗外飘来一大片阳光，明亮得刺眼，谁知很快又飘了过去，室内重新恢复了黯淡。太阳它今天是开车来上班的么？是不是有点超速驾驶了？[衰]
0,[衰] //@会说比喻句的俏皮猫:转发微博
1,好！//@京剧张艳玲: 了不起[good][good][good]//@今晚庞剑:回复@奶油菠萝熊:把雷公给惊着了 //@奶油菠萝熊:是哈？要不今天这雨这么大呢！[哈哈]
1,居然没有便宜坊，这家可是烤鸭的鼻祖，比全聚德早大约600年。。。[哈哈]
1,吃了两张，，这小媳妇不错[给力]//@王建国SZ: 这饼，霸气啊！[赞]//@朱惑木棉花:撑死我了，好大的饼啊[嘻嘻]
1,书的盛要，书店人的团圆！@好摄女:这次好热闹，终于@恒者微言 自己主持了，有天南地北的书店主人们@布衣书局 @但捷 等，还有为数不多的女性嘉宾@旁??社 还还有智囊传媒总裁@笑谈管理 ，好摄女一定好摄到底[哈哈][哈哈][哈哈]
1,一天又快结束了[爱你]
1,?哥表示?力很大[汗] //@齐咪女青年:@大猫爱财哥 来，行动起来！//@iPhone频道: 哈哈哈[嘻嘻]
0,我也想要，惠贵人赏的――金瓜子。[泪]甚是好看。
0,我们这次不是女生浴吗?//@徐源-Sara:小组里的男同学纷纷说和我们群浴很尴尬，其实作为本小组最胖的女生，和你们群浴我也很尴尬。[悲伤]
1,被围观的感觉咋样？[偷笑][哈哈][哈哈]
